BilledCost,BillingAccountId,BillingAccountName,BillingCurrency,BillingPeriodStart,BillingPeriodEnd,ChargeCategory,ChargeClass,ChargeDescription,ChargeFrequency,ChargePeriodStart,ChargePeriodEnd,ConsumedQuantity,ConsumedUnit,ContractedCost,ContractedUnitPrice,EffectiveCost,ListCost,ListUnitPrice,ResourceId,ResourceType,ServiceCategory,ServiceName,ServiceSubcategory,SkuId,SubAccountId,SubAccountName,SubAccountType,RegionId,MeterCategory,MeterSubCategory,MeterName,ResourceGroup,ResourceLocation
4.5000,sub-001,Production AI,USD,2025-01-06,2025-01-06,Usage,Regular,Azure OpenAI - GPT-4o - Text-Generation,Usage-Based,2025-01-06,2025-01-06,450000,1M Tokens,4.5000,0.0000100000,4.5000,4.5000,0.0000100000,/subscriptions/sub-001/resourceGroups/rg-openai-prod/providers/Microsoft.CognitiveServices/accounts/textgeneration,Microsoft.CognitiveServices/accounts,AI / LLM,Azure OpenAI,GPT-4o,openai-gpt-4o,sub-001,Production AI,Subscription,eastus,OpenAI,GPT-4o,Text-Generation,rg-openai-prod,eastus
0.3000,sub-001,Production AI,USD,2025-01-06,2025-01-06,Usage,Regular,Azure OpenAI - GPT-4o - Chat-Completion,Usage-Based,2025-01-06,2025-01-06,120000,1M Tokens,0.3000,0.0000025000,0.3000,0.3000,0.0000025000,/subscriptions/sub-001/resourceGroups/rg-openai-prod/providers/Microsoft.CognitiveServices/accounts/chatcompletion,Microsoft.CognitiveServices/accounts,AI / LLM,Azure OpenAI,GPT-4o,openai-gpt-4o,sub-001,Production AI,Subscription,eastus,OpenAI,GPT-4o,Chat-Completion,rg-openai-prod,eastus
0.0090,sub-001,Production AI,USD,2025-01-06,2025-01-06,Usage,Regular,Azure OpenAI - GPT-4o-mini - Text-Generation,Usage-Based,2025-01-06,2025-01-06,60000,1M Tokens,0.0090,0.0000001500,0.0090,0.0090,0.0000001500,/subscriptions/sub-001/resourceGroups/rg-openai-prod/providers/Microsoft.CognitiveServices/accounts/textgeneration,Microsoft.CognitiveServices/accounts,AI / LLM,Azure OpenAI,GPT-4o-mini,openai-gpt-4o-mini,sub-001,Production AI,Subscription,eastus,OpenAI,GPT-4o-mini,Text-Generation,rg-openai-prod,eastus
0.1320,sub-001,Production AI,USD,2025-01-06,2025-01-06,Usage,Regular,Azure OpenAI - GPT-4o-mini - Chat-Completion,Usage-Based,2025-01-06,2025-01-06,220000,1M Tokens,0.1320,0.0000006000,0.1320,0.1320,0.0000006000,/subscriptions/sub-001/resourceGroups/rg-openai-prod/providers/Microsoft.CognitiveServices/accounts/chatcompletion,Microsoft.CognitiveServices/accounts,AI / LLM,Azure OpenAI,GPT-4o-mini,openai-gpt-4o-mini,sub-001,Production AI,Subscription,eastus,OpenAI,GPT-4o-mini,Chat-Completion,rg-openai-prod,eastus
0.0260,sub-001,Production AI,USD,2025-01-06,2025-01-06,Usage,Regular,Azure OpenAI - text-embedding-3-large - Embedding,Usage-Based,2025-01-06,2025-01-06,200000,1M Tokens,0.0260,0.0000001300,0.0260,0.0260,0.0000001300,/subscriptions/sub-001/resourceGroups/rg-openai-prod/providers/Microsoft.CognitiveServices/accounts/embedding,Microsoft.CognitiveServices/accounts,AI / LLM,Azure OpenAI,text-embedding-3-large,openai-text-embedding-3-large,sub-001,Production AI,Subscription,eastus,OpenAI,text-embedding-3-large,Embedding,rg-openai-prod,eastus
0.0038,sub-001,Production AI,USD,2025-01-06,2025-01-06,Usage,Regular,Azure OpenAI - text-embedding-3-small - Embedding,Usage-Based,2025-01-06,2025-01-06,190000,1M Tokens,0.0038,0.0000000200,0.0038,0.0038,0.0000000200,/subscriptions/sub-001/resourceGroups/rg-openai-prod/providers/Microsoft.CognitiveServices/accounts/embedding,Microsoft.CognitiveServices/accounts,AI / LLM,Azure OpenAI,text-embedding-3-small,openai-text-embedding-3-small,sub-001,Production AI,Subscription,eastus,OpenAI,text-embedding-3-small,Embedding,rg-openai-prod,eastus
0.3250,sub-001,Production AI,USD,2025-01-06,2025-01-06,Usage,Regular,Azure OpenAI - gpt-4o-realtime - Realtime-Text,Usage-Based,2025-01-06,2025-01-06,130000,1M Tokens,0.3250,0.0000025000,0.3250,0.3250,0.0000025000,/subscriptions/sub-001/resourceGroups/rg-openai-prod/providers/Microsoft.CognitiveServices/accounts/realtimetext,Microsoft.CognitiveServices/accounts,AI / LLM,Azure OpenAI,gpt-4o-realtime,openai-gpt-4o-realtime,sub-001,Production AI,Subscription,eastus,OpenAI,gpt-4o-realtime,Realtime-Text,rg-openai-prod,eastus
0.2000,sub-002,Dev/Test AI,USD,2025-01-06,2025-01-06,Usage,Regular,Azure OpenAI - GPT-4o - Text-Generation,Usage-Based,2025-01-06,2025-01-06,20000,1M Tokens,0.2000,0.0000100000,0.2000,0.2000,0.0000100000,/subscriptions/sub-002/resourceGroups/rg-openai-dev/providers/Microsoft.CognitiveServices/accounts/textgeneration,Microsoft.CognitiveServices/accounts,AI / LLM,Azure OpenAI,GPT-4o,openai-gpt-4o,sub-002,Dev/Test AI,Subscription,westus,OpenAI,GPT-4o,Text-Generation,rg-openai-dev,westus
0.2250,sub-002,Dev/Test AI,USD,2025-01-06,2025-01-06,Usage,Regular,Azure OpenAI - GPT-4o - Chat-Completion,Usage-Based,2025-01-06,2025-01-06,90000,1M Tokens,0.2250,0.0000025000,0.2250,0.2250,0.0000025000,/subscriptions/sub-002/resourceGroups/rg-openai-dev/providers/Microsoft.CognitiveServices/accounts/chatcompletion,Microsoft.CognitiveServices/accounts,AI / LLM,Azure OpenAI,GPT-4o,openai-gpt-4o,sub-002,Dev/Test AI,Subscription,westus,OpenAI,GPT-4o,Chat-Completion,rg-openai-dev,westus
0.0030,sub-002,Dev/Test AI,USD,2025-01-06,2025-01-06,Usage,Regular,Azure OpenAI - GPT-4o-mini - Text-Generation,Usage-Based,2025-01-06,2025-01-06,20000,1M Tokens,0.0030,0.0000001500,0.0030,0.0030,0.0000001500,/subscriptions/sub-002/resourceGroups/rg-openai-dev/providers/Microsoft.CognitiveServices/accounts/textgeneration,Microsoft.CognitiveServices/accounts,AI / LLM,Azure OpenAI,GPT-4o-mini,openai-gpt-4o-mini,sub-002,Dev/Test AI,Subscription,westus,OpenAI,GPT-4o-mini,Text-Generation,rg-openai-dev,westus
0.0600,sub-002,Dev/Test AI,USD,2025-01-06,2025-01-06,Usage,Regular,Azure OpenAI - GPT-4o-mini - Chat-Completion,Usage-Based,2025-01-06,2025-01-06,100000,1M Tokens,0.0600,0.0000006000,0.0600,0.0600,0.0000006000,/subscriptions/sub-002/resourceGroups/rg-openai-dev/providers/Microsoft.CognitiveServices/accounts/chatcompletion,Microsoft.CognitiveServices/accounts,AI / LLM,Azure OpenAI,GPT-4o-mini,openai-gpt-4o-mini,sub-002,Dev/Test AI,Subscription,westus,OpenAI,GPT-4o-mini,Chat-Completion,rg-openai-dev,westus
0.0091,sub-002,Dev/Test AI,USD,2025-01-06,2025-01-06,Usage,Regular,Azure OpenAI - text-embedding-3-large - Embedding,Usage-Based,2025-01-06,2025-01-06,70000,1M Tokens,0.0091,0.0000001300,0.0091,0.0091,0.0000001300,/subscriptions/sub-002/resourceGroups/rg-openai-dev/providers/Microsoft.CognitiveServices/accounts/embedding,Microsoft.CognitiveServices/accounts,AI / LLM,Azure OpenAI,text-embedding-3-large,openai-text-embedding-3-large,sub-002,Dev/Test AI,Subscription,westus,OpenAI,text-embedding-3-large,Embedding,rg-openai-dev,westus
0.0002,sub-002,Dev/Test AI,USD,2025-01-06,2025-01-06,Usage,Regular,Azure OpenAI - text-embedding-3-small - Embedding,Usage-Based,2025-01-06,2025-01-06,10000,1M Tokens,0.0002,0.0000000200,0.0002,0.0002,0.0000000200,/subscriptions/sub-002/resourceGroups/rg-openai-dev/providers/Microsoft.CognitiveServices/accounts/embedding,Microsoft.CognitiveServices/accounts,AI / LLM,Azure OpenAI,text-embedding-3-small,openai-text-embedding-3-small,sub-002,Dev/Test AI,Subscription,westus,OpenAI,text-embedding-3-small,Embedding,rg-openai-dev,westus
0.0250,sub-002,Dev/Test AI,USD,2025-01-06,2025-01-06,Usage,Regular,Azure OpenAI - gpt-4o-realtime - Realtime-Text,Usage-Based,2025-01-06,2025-01-06,10000,1M Tokens,0.0250,0.0000025000,0.0250,0.0250,0.0000025000,/subscriptions/sub-002/resourceGroups/rg-openai-dev/providers/Microsoft.CognitiveServices/accounts/realtimetext,Microsoft.CognitiveServices/accounts,AI / LLM,Azure OpenAI,gpt-4o-realtime,openai-gpt-4o-realtime,sub-002,Dev/Test AI,Subscription,westus,OpenAI,gpt-4o-realtime,Realtime-Text,rg-openai-dev,westus
71.4000,sub-001,Production AI,USD,2025-01-06,2025-01-06,Usage,Regular,Azure AI Foundry - ML Compute - GPU - NC24ads A100 v4 Hours,Usage-Based,2025-01-06,2025-01-06,21,1 Hour,71.4000,3.4000,71.4000,71.4000,3.4000,/subscriptions/sub-001/resourceGroups/rg-foundry-prod/providers/Microsoft.MachineLearningServices/workspaces/foundry-mlcomputegpu,Microsoft.MachineLearningServices/workspaces,AI / LLM,Azure AI Foundry,ML Compute - GPU,foundry-mlcomputegpu,sub-001,Production AI,Subscription,eastus,Machine Learning,ML Compute - GPU,NC24ads A100 v4 Hours,rg-foundry-prod,eastus
240.5000,sub-001,Production AI,USD,2025-01-06,2025-01-06,Usage,Regular,Azure AI Foundry - ML Compute - GPU - ND40rs v2 Hours,Usage-Based,2025-01-06,2025-01-06,37,1 Hour,240.5000,6.5000,240.5000,240.5000,6.5000,/subscriptions/sub-001/resourceGroups/rg-foundry-prod/providers/Microsoft.MachineLearningServices/workspaces/foundry-mlcomputegpu,Microsoft.MachineLearningServices/workspaces,AI / LLM,Azure AI Foundry,ML Compute - GPU,foundry-mlcomputegpu,sub-001,Production AI,Subscription,eastus,Machine Learning,ML Compute - GPU,ND40rs v2 Hours,rg-foundry-prod,eastus
32.8500,sub-001,Production AI,USD,2025-01-06,2025-01-06,Usage,Regular,Azure AI Foundry - ML Endpoint - Real-time - Endpoint Hours,Usage-Based,2025-01-06,2025-01-06,219,1 Hour,32.8500,0.1500,32.8500,32.8500,0.1500,/subscriptions/sub-001/resourceGroups/rg-foundry-prod/providers/Microsoft.MachineLearningServices/workspaces/foundry-mlendpointrealtime,Microsoft.MachineLearningServices/workspaces,AI / LLM,Azure AI Foundry,ML Endpoint - Real-time,foundry-mlendpointrealtime,sub-001,Production AI,Subscription,eastus,Machine Learning,ML Endpoint - Real-time,Endpoint Hours,rg-foundry-prod,eastus
3.7000,sub-001,Production AI,USD,2025-01-06,2025-01-06,Usage,Regular,Azure AI Foundry - ML Endpoint - Batch - Batch Scoring,Usage-Based,2025-01-06,2025-01-06,74,1K Records,3.7000,0.0500,3.7000,3.7000,0.0500,/subscriptions/sub-001/resourceGroups/rg-foundry-prod/providers/Microsoft.MachineLearningServices/workspaces/foundry-mlendpointbatch,Microsoft.MachineLearningServices/workspaces,AI / LLM,Azure AI Foundry,ML Endpoint - Batch,foundry-mlendpointbatch,sub-001,Production AI,Subscription,eastus,Machine Learning,ML Endpoint - Batch,Batch Scoring,rg-foundry-prod,eastus
2.0010,sub-001,Production AI,USD,2025-01-06,2025-01-06,Usage,Regular,Azure AI Foundry - ML Storage - Managed Data,Usage-Based,2025-01-06,2025-01-06,87,1 GB,2.0010,0.0230,2.0010,2.0010,0.0230,/subscriptions/sub-001/resourceGroups/rg-foundry-prod/providers/Microsoft.MachineLearningServices/workspaces/foundry-mlstorage,Microsoft.MachineLearningServices/workspaces,AI / LLM,Azure AI Foundry,ML Storage,foundry-mlstorage,sub-001,Production AI,Subscription,eastus,Machine Learning,ML Storage,Managed Data,rg-foundry-prod,eastus
0.6000,sub-001,Production AI,USD,2025-01-07,2025-01-07,Usage,Regular,Azure OpenAI - GPT-4o - Text-Generation,Usage-Based,2025-01-07,2025-01-07,60000,1M Tokens,0.6000,0.0000100000,0.6000,0.6000,0.0000100000,/subscriptions/sub-001/resourceGroups/rg-openai-prod/providers/Microsoft.CognitiveServices/accounts/textgeneration,Microsoft.CognitiveServices/accounts,AI / LLM,Azure OpenAI,GPT-4o,openai-gpt-4o,sub-001,Production AI,Subscription,eastus,OpenAI,GPT-4o,Text-Generation,rg-openai-prod,eastus
1.0000,sub-001,Production AI,USD,2025-01-07,2025-01-07,Usage,Regular,Azure OpenAI - GPT-4o - Chat-Completion,Usage-Based,2025-01-07,2025-01-07,400000,1M Tokens,1.0000,0.0000025000,1.0000,1.0000,0.0000025000,/subscriptions/sub-001/resourceGroups/rg-openai-prod/providers/Microsoft.CognitiveServices/accounts/chatcompletion,Microsoft.CognitiveServices/accounts,AI / LLM,Azure OpenAI,GPT-4o,openai-gpt-4o,sub-001,Production AI,Subscription,eastus,OpenAI,GPT-4o,Chat-Completion,rg-openai-prod,eastus
0.0255,sub-001,Production AI,USD,2025-01-07,2025-01-07,Usage,Regular,Azure OpenAI - GPT-4o-mini - Text-Generation,Usage-Based,2025-01-07,2025-01-07,170000,1M Tokens,0.0255,0.0000001500,0.0255,0.0255,0.0000001500,/subscriptions/sub-001/resourceGroups/rg-openai-prod/providers/Microsoft.CognitiveServices/accounts/textgeneration,Microsoft.CognitiveServices/accounts,AI / LLM,Azure OpenAI,GPT-4o-mini,openai-gpt-4o-mini,sub-001,Production AI,Subscription,eastus,OpenAI,GPT-4o-mini,Text-Generation,rg-openai-prod,eastus
0.3000,sub-001,Production AI,USD,2025-01-07,2025-01-07,Usage,Regular,Azure OpenAI - GPT-4o-mini - Chat-Completion,Usage-Based,2025-01-07,2025-01-07,500000,1M Tokens,0.3000,0.0000006000,0.3000,0.3000,0.0000006000,/subscriptions/sub-001/resourceGroups/rg-openai-prod/providers/Microsoft.CognitiveServices/accounts/chatcompletion,Microsoft.CognitiveServices/accounts,AI / LLM,Azure OpenAI,GPT-4o-mini,openai-gpt-4o-mini,sub-001,Production AI,Subscription,eastus,OpenAI,GPT-4o-mini,Chat-Completion,rg-openai-prod,eastus
0.0598,sub-001,Production AI,USD,2025-01-07,2025-01-07,Usage,Regular,Azure OpenAI - text-embedding-3-large - Embedding,Usage-Based,2025-01-07,2025-01-07,460000,1M Tokens,0.0598,0.0000001300,0.0598,0.0598,0.0000001300,/subscriptions/sub-001/resourceGroups/rg-openai-prod/providers/Microsoft.CognitiveServices/accounts/embedding,Microsoft.CognitiveServices/accounts,AI / LLM,Azure OpenAI,text-embedding-3-large,openai-text-embedding-3-large,sub-001,Production AI,Subscription,eastus,OpenAI,text-embedding-3-large,Embedding,rg-openai-prod,eastus
0.0098,sub-001,Production AI,USD,2025-01-07,2025-01-07,Usage,Regular,Azure OpenAI - text-embedding-3-small - Embedding,Usage-Based,2025-01-07,2025-01-07,490000,1M Tokens,0.0098,0.0000000200,0.0098,0.0098,0.0000000200,/subscriptions/sub-001/resourceGroups/rg-openai-prod/providers/Microsoft.CognitiveServices/accounts/embedding,Microsoft.CognitiveServices/accounts,AI / LLM,Azure OpenAI,text-embedding-3-small,openai-text-embedding-3-small,sub-001,Production AI,Subscription,eastus,OpenAI,text-embedding-3-small,Embedding,rg-openai-prod,eastus
0.9750,sub-001,Production AI,USD,2025-01-07,2025-01-07,Usage,Regular,Azure OpenAI - gpt-4o-realtime - Realtime-Text,Usage-Based,2025-01-07,2025-01-07,390000,1M Tokens,0.9750,0.0000025000,0.9750,0.9750,0.0000025000,/subscriptions/sub-001/resourceGroups/rg-openai-prod/providers/Microsoft.CognitiveServices/accounts/realtimetext,Microsoft.CognitiveServices/accounts,AI / LLM,Azure OpenAI,gpt-4o-realtime,openai-gpt-4o-realtime,sub-001,Production AI,Subscription,eastus,OpenAI,gpt-4o-realtime,Realtime-Text,rg-openai-prod,eastus
0.7000,sub-002,Dev/Test AI,USD,2025-01-07,2025-01-07,Usage,Regular,Azure OpenAI - GPT-4o - Text-Generation,Usage-Based,2025-01-07,2025-01-07,70000,1M Tokens,0.7000,0.0000100000,0.7000,0.7000,0.0000100000,/subscriptions/sub-002/resourceGroups/rg-openai-dev/providers/Microsoft.CognitiveServices/accounts/textgeneration,Microsoft.CognitiveServices/accounts,AI / LLM,Azure OpenAI,GPT-4o,openai-gpt-4o,sub-002,Dev/Test AI,Subscription,westus,OpenAI,GPT-4o,Text-Generation,rg-openai-dev,westus
0.1000,sub-002,Dev/Test AI,USD,2025-01-07,2025-01-07,Usage,Regular,Azure OpenAI - GPT-4o - Chat-Completion,Usage-Based,2025-01-07,2025-01-07,40000,1M Tokens,0.1000,0.0000025000,0.1000,0.1000,0.0000025000,/subscriptions/sub-002/resourceGroups/rg-openai-dev/providers/Microsoft.CognitiveServices/accounts/chatcompletion,Microsoft.CognitiveServices/accounts,AI / LLM,Azure OpenAI,GPT-4o,openai-gpt-4o,sub-002,Dev/Test AI,Subscription,westus,OpenAI,GPT-4o,Chat-Completion,rg-openai-dev,westus
0.0120,sub-002,Dev/Test AI,USD,2025-01-07,2025-01-07,Usage,Regular,Azure OpenAI - GPT-4o-mini - Text-Generation,Usage-Based,2025-01-07,2025-01-07,80000,1M Tokens,0.0120,0.0000001500,0.0120,0.0120,0.0000001500,/subscriptions/sub-002/resourceGroups/rg-openai-dev/providers/Microsoft.CognitiveServices/accounts/textgeneration,Microsoft.CognitiveServices/accounts,AI / LLM,Azure OpenAI,GPT-4o-mini,openai-gpt-4o-mini,sub-002,Dev/Test AI,Subscription,westus,OpenAI,GPT-4o-mini,Text-Generation,rg-openai-dev,westus
0.0600,sub-002,Dev/Test AI,USD,2025-01-07,2025-01-07,Usage,Regular,Azure OpenAI - GPT-4o-mini - Chat-Completion,Usage-Based,2025-01-07,2025-01-07,100000,1M Tokens,0.0600,0.0000006000,0.0600,0.0600,0.0000006000,/subscriptions/sub-002/resourceGroups/rg-openai-dev/providers/Microsoft.CognitiveServices/accounts/chatcompletion,Microsoft.CognitiveServices/accounts,AI / LLM,Azure OpenAI,GPT-4o-mini,openai-gpt-4o-mini,sub-002,Dev/Test AI,Subscription,westus,OpenAI,GPT-4o-mini,Chat-Completion,rg-openai-dev,westus
0.0065,sub-002,Dev/Test AI,USD,2025-01-07,2025-01-07,Usage,Regular,Azure OpenAI - text-embedding-3-large - Embedding,Usage-Based,2025-01-07,2025-01-07,50000,1M Tokens,0.0065,0.0000001300,0.0065,0.0065,0.0000001300,/subscriptions/sub-002/resourceGroups/rg-openai-dev/providers/Microsoft.CognitiveServices/accounts/embedding,Microsoft.CognitiveServices/accounts,AI / LLM,Azure OpenAI,text-embedding-3-large,openai-text-embedding-3-large,sub-002,Dev/Test AI,Subscription,westus,OpenAI,text-embedding-3-large,Embedding,rg-openai-dev,westus
